test1 = [


celsius, 0
celsius, 0
celsius, 0
celsius, 0
celsius, 0

celsius, 0.5
celsius, 0.5
celsius, 0.5
celsius, 0.5
celsius, 0.5

celsius, 1
celsius, 1
celsius, 1
celsius, 1
celsius, 1

celsius, 1.5
celsius, 1.5
celsius, 1.5
celsius, 1.5
celsius, 1.5

celsius, 2
celsius, 2
celsius, 2
celsius, 2
celsius, 2

celsius, 2.5
celsius, 2.5
celsius, 2.5
celsius, 2.5
celsius, 2.5

celsius, 3
celsius, 3
celsius, 3
celsius, 3
celsius, 3

celsius, 3.5
celsius, 3.5
celsius, 3.5
celsius, 3.5
celsius, 3.5

celsius, 4
celsius, 4
celsius, 4
celsius, 4
celsius, 4

celsius, 4.5
celsius, 4.5
celsius, 4.5
celsius, 4.5
celsius, 4.5

celsius, 5
celsius, 5
celsius, 5
celsius, 5
celsius, 5

celsius, 4.5
celsius, 4.5
celsius, 4.5
celsius, 4.5
celsius, 4.5

celsius, 4
celsius, 4
celsius, 4
celsius, 4
celsius, 4

celsius, 3.5
celsius, 3.5
celsius, 3.5
celsius, 3.5
celsius, 3.5

celsius, 3
celsius, 3
celsius, 3
celsius, 3
celsius, 3

celsius, 2.5
celsius, 2.5
celsius, 2.5
celsius, 2.5
celsius, 2.5

celsius, 2
celsius, 2
celsius, 2
celsius, 2
celsius, 2

celsius, 1.5
celsius, 1.5
celsius, 1.5
celsius, 1.5
celsius, 1.5

celsius, 1
celsius, 1
celsius, 1
celsius, 1
celsius, 1

celsius, 0.5
celsius, 0.5
celsius, 0.5
celsius, 0.5
celsius, 0.5

celsius, 0
celsius, 0
celsius, 0
celsius, 0
celsius, 0

celsius, -1
celsius, -1
celsius, -1
celsius, -1
celsius, -1
